2018-03-21 09:50:11,065 [6] INFO  BaseLog [(null)] - OAuth2Controller>Index :https://open.weixin.qq.com/connect/oauth2/authorize?appid=wxf0eea6fec2756b45&redirect_uri=http%3A%2F%2Fwxtest-ct.qichedaquan.com%2Fapi%2FOAuth2%2FUserInfoCallback%3FreturnUrl%3Dhttp%3A%2F%2Fwxtest-ct.qichedaquan.com%2FmoneyManager%2Fmake_money.html%3Fchannel%3Dctlmcaidan&response_type=code&scope=snsapi_userinfo&state=ChiTu993&connect_redirect=1#wechat_redirect
2018-03-21 09:50:26,843 [8] INFO  BaseLog [(null)] - OAuth2Controller>Index :https://open.weixin.qq.com/connect/oauth2/authorize?appid=wxf0eea6fec2756b45&redirect_uri=http%3A%2F%2Fwxtest-ct.qichedaquan.com%2Fapi%2FOAuth2%2FUserInfoCallback%3FreturnUrl%3Dhttp%3A%2F%2Fwxtest-ct.qichedaquan.com%2FmoneyManager%2Fmake_money.html%3Fchannel%3Dctlmcaidan&response_type=code&scope=snsapi_userinfo&state=ChiTu843&connect_redirect=1#wechat_redirect
2018-03-21 09:50:29,253 [7] INFO  BaseLog [(null)] - UserInfoCallback :http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:29,258 [7] INFO  BaseLog [(null)] - UserInfoCallback :GetAccessToken开始，Code：071W1cDL1E4i841dhnDL1VF6DL1W1cDt
2018-03-21 09:50:29,336 [7] INFO  BaseLog [(null)] - UserInfoCallback :GetAccessToken结束，Code：071W1cDL1E4i841dhnDL1VF6DL1W1cDt
2018-03-21 09:50:29,418 [7] INFO  BaseLog [(null)] - 调用OAuthApi.Auth方法，参数access_token=7_9s2i5qNCFo4z9qU8GUBHRTUDVUlQR4y6AIakGRrgHREJkoUq6PrKbfSFj2kLy7Fg1hIgGvoffNtYwAQPq0gv2A,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果=ok
2018-03-21 09:50:29,525 [7] INFO  BaseLog [(null)] - 调用OAuthApi.GetUserInfo方法，参数access_token=7_9s2i5qNCFo4z9qU8GUBHRTUDVUlQR4y6AIakGRrgHREJkoUq6PrKbfSFj2kLy7Fg1hIgGvoffNtYwAQPq0gv2A,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"openid":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","nickname":"seay","sex":1,"province":"奥克兰","city":"","country":"新西兰","headimgurl":"http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTJ4TM16lK1RM4GbPuOD8jRyic0YE8kdWAAZI9feWTDfjtOBhfG6CNvNuLmwS5g2yjwIwm5DEVxafmg/132","privilege":["chinaunicom"],"unionid":"o_J_G0_aJx27xTqZeOGzunN1JB5A"}
2018-03-21 09:50:29,618 [7] INFO  BaseLog [(null)] - 调用Senparc.Weixin.MP.AdvancedAPIs.UserApi.Info方法，参数appId=wxf0eea6fec2756b45,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"subscribe":1,"openid":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","nickname":"seay","sex":1,"language":"zh_CN","city":"","province":"奥克兰","country":"新西兰","headimgurl":"http://thirdwx.qlogo.cn/mmopen/5pxmIbNO8heardmiaZ0saeaueGEyKnpWWIFkvqOS0nwxdHSq6qASxIcIn3jT5y13hP3Wy0UQDJib1FrELiapV456Y4M4vmBk3Js/132","subscribe_time":1521020314,"unionid":"o_J_G0_aJx27xTqZeOGzunN1JB5A","remark":"","groupid":0,"tagid_list":[],"errcode":0,"ErrorCodeValue":0,"errmsg":null,"P2PData":null}
2018-03-21 09:50:29,625 [7] INFO  BaseLog [(null)] - 调用 XYAuto.ITSC.Chitunion2017.BLL.WeChat.WeiXinUser.Instance.GetUnionAndUserId方法，参数openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"OpenID":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","UnionID":"o_J_G0_aJx27xTqZeOGzunN1JB5A","UserID":1612}
2018-03-21 09:50:29,640 [7] INFO  BaseLog [(null)] - 调用XYAuto.ITSC.Chitunion2017.Common.UserInfo.Instance.Passport方法，参数UserID=1612,结果=fq0esYvUWd972wEauXMdHKw0OtpNIywRF3NC0ph/wlOEwwEEdAoDNNgLvyMBWVpNF5xEYe8ioPNpQiH3YHWNntS9/PPqz1Ov3nAuXHw1ArNQwQoP9Zd81phSiIXDYMwxuognGUlk0prn8gkxDr8aQ9wlc9AlnXQjh0RBEXFE4dYof2D6VCx+LWDQ/fWIOBhE,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:29,647 [7] INFO  BaseLog [(null)] - WeiXinVisvitBll AddWeiXinVisvitInfo 开始 UserID: 1612,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:29,654 [7] INFO  BaseLog [(null)] - WeiXinVisvitBll AddWeiXinVisvitInfo UserID: 1612,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan OK
2018-03-21 09:50:29,823 [6] INFO  BaseLog [(null)] - OAuth2Controller>Index :https://open.weixin.qq.com/connect/oauth2/authorize?appid=wxf0eea6fec2756b45&redirect_uri=http%3A%2F%2Fwxtest-ct.qichedaquan.com%2Fapi%2FOAuth2%2FUserInfoCallback%3FreturnUrl%3Dhttp%3A%2F%2Fwxtest-ct.qichedaquan.com%2FmoneyManager%2Fmake_money.html%3Fchannel%3Dctlmcaidan&response_type=code&scope=snsapi_userinfo&state=ChiTu823&connect_redirect=1#wechat_redirect
2018-03-21 09:50:32,470 [8] INFO  BaseLog [(null)] - UserInfoCallback :http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:32,476 [8] INFO  BaseLog [(null)] - UserInfoCallback :GetAccessToken开始，Code：021ybR4P0fWSja2GsH3P0sS65P0ybR4h
2018-03-21 09:50:32,558 [8] INFO  BaseLog [(null)] - UserInfoCallback :GetAccessToken结束，Code：021ybR4P0fWSja2GsH3P0sS65P0ybR4h
2018-03-21 09:50:32,651 [8] INFO  BaseLog [(null)] - 调用OAuthApi.Auth方法，参数access_token=7_Vf4-ti-ed1pNEVUrR5MuVSWYPWGF-CWCFGL7twSy78B5aXqnCNfpg_DUxpg2iyEtpzXvOnzmiKFSsozpARLCPQ,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果=ok
2018-03-21 09:50:32,741 [8] INFO  BaseLog [(null)] - 调用OAuthApi.GetUserInfo方法，参数access_token=7_Vf4-ti-ed1pNEVUrR5MuVSWYPWGF-CWCFGL7twSy78B5aXqnCNfpg_DUxpg2iyEtpzXvOnzmiKFSsozpARLCPQ,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"openid":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","nickname":"seay","sex":1,"province":"奥克兰","city":"","country":"新西兰","headimgurl":"http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTJ4TM16lK1RM4GbPuOD8jRyic0YE8kdWAAZI9feWTDfjtOBhfG6CNvNuLmwS5g2yjwIwm5DEVxafmg/132","privilege":["chinaunicom"],"unionid":"o_J_G0_aJx27xTqZeOGzunN1JB5A"}
2018-03-21 09:50:32,830 [8] INFO  BaseLog [(null)] - 调用Senparc.Weixin.MP.AdvancedAPIs.UserApi.Info方法，参数appId=wxf0eea6fec2756b45,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"subscribe":1,"openid":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","nickname":"seay","sex":1,"language":"zh_CN","city":"","province":"奥克兰","country":"新西兰","headimgurl":"http://thirdwx.qlogo.cn/mmopen/5pxmIbNO8heardmiaZ0saeaueGEyKnpWWIFkvqOS0nwxdHSq6qASxIcIn3jT5y13hP3Wy0UQDJib1FrELiapV456Y4M4vmBk3Js/132","subscribe_time":1521020314,"unionid":"o_J_G0_aJx27xTqZeOGzunN1JB5A","remark":"","groupid":0,"tagid_list":[],"errcode":0,"ErrorCodeValue":0,"errmsg":null,"P2PData":null}
2018-03-21 09:50:32,836 [8] INFO  BaseLog [(null)] - 调用 XYAuto.ITSC.Chitunion2017.BLL.WeChat.WeiXinUser.Instance.GetUnionAndUserId方法，参数openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"OpenID":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","UnionID":"o_J_G0_aJx27xTqZeOGzunN1JB5A","UserID":1612}
2018-03-21 09:50:32,848 [8] INFO  BaseLog [(null)] - 调用XYAuto.ITSC.Chitunion2017.Common.UserInfo.Instance.Passport方法，参数UserID=1612,结果=fq0esYvUWd972wEauXMdHKw0OtpNIywRF3NC0ph/wlOEwwEEdAoDNNgLvyMBWVpNF5xEYe8ioPNpQiH3YHWNntS9/PPqz1Ov3nAuXHw1ArNQwQoP9Zd81phSiIXDYMwxuognGUlk0prn8gkxDr8aQ9wlc9AlnXQjGinsD2dYZG7AR8DkFc7IEnu8BclZ7cU5,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:32,853 [8] INFO  BaseLog [(null)] - WeiXinVisvitBll AddWeiXinVisvitInfo 开始 UserID: 1612,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:32,860 [8] INFO  BaseLog [(null)] - WeiXinVisvitBll AddWeiXinVisvitInfo UserID: 1612,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan OK
2018-03-21 09:50:33,034 [8] INFO  BaseLog [(null)] - OAuth2Controller>Index :https://open.weixin.qq.com/connect/oauth2/authorize?appid=wxf0eea6fec2756b45&redirect_uri=http%3A%2F%2Fwxtest-ct.qichedaquan.com%2Fapi%2FOAuth2%2FUserInfoCallback%3FreturnUrl%3Dhttp%3A%2F%2Fwxtest-ct.qichedaquan.com%2FmoneyManager%2Fmake_money.html%3Fchannel%3Dctlmcaidan&response_type=code&scope=snsapi_userinfo&state=ChiTu34&connect_redirect=1#wechat_redirect
2018-03-21 09:50:35,418 [5] INFO  BaseLog [(null)] - UserInfoCallback :http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:35,423 [5] INFO  BaseLog [(null)] - UserInfoCallback :GetAccessToken开始，Code：081tCXFK1pFLH50wLZEK10qKFK1tCXF6
2018-03-21 09:50:35,499 [5] INFO  BaseLog [(null)] - UserInfoCallback :GetAccessToken结束，Code：081tCXFK1pFLH50wLZEK10qKFK1tCXF6
2018-03-21 09:50:35,599 [5] INFO  BaseLog [(null)] - 调用OAuthApi.Auth方法，参数access_token=7_gJqvUyvobVXa5nqSMpv_zmT4sk6jxeVMU0SANWaNSXekE2geSUh0AuIDN_AE4RlunfHuJB_k4dlkikg01yMniw,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果=ok
2018-03-21 09:50:35,673 [5] INFO  BaseLog [(null)] - 调用OAuthApi.GetUserInfo方法，参数access_token=7_gJqvUyvobVXa5nqSMpv_zmT4sk6jxeVMU0SANWaNSXekE2geSUh0AuIDN_AE4RlunfHuJB_k4dlkikg01yMniw,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"openid":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","nickname":"seay","sex":1,"province":"奥克兰","city":"","country":"新西兰","headimgurl":"http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTJ4TM16lK1RM4GbPuOD8jRyic0YE8kdWAAZI9feWTDfjtOBhfG6CNvNuLmwS5g2yjwIwm5DEVxafmg/132","privilege":["chinaunicom"],"unionid":"o_J_G0_aJx27xTqZeOGzunN1JB5A"}
2018-03-21 09:50:35,757 [5] INFO  BaseLog [(null)] - 调用Senparc.Weixin.MP.AdvancedAPIs.UserApi.Info方法，参数appId=wxf0eea6fec2756b45,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"subscribe":1,"openid":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","nickname":"seay","sex":1,"language":"zh_CN","city":"","province":"奥克兰","country":"新西兰","headimgurl":"http://thirdwx.qlogo.cn/mmopen/5pxmIbNO8heardmiaZ0saeaueGEyKnpWWIFkvqOS0nwxdHSq6qASxIcIn3jT5y13hP3Wy0UQDJib1FrELiapV456Y4M4vmBk3Js/132","subscribe_time":1521020314,"unionid":"o_J_G0_aJx27xTqZeOGzunN1JB5A","remark":"","groupid":0,"tagid_list":[],"errcode":0,"ErrorCodeValue":0,"errmsg":null,"P2PData":null}
2018-03-21 09:50:35,766 [5] INFO  BaseLog [(null)] - 调用 XYAuto.ITSC.Chitunion2017.BLL.WeChat.WeiXinUser.Instance.GetUnionAndUserId方法，参数openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"OpenID":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","UnionID":"o_J_G0_aJx27xTqZeOGzunN1JB5A","UserID":1612}
2018-03-21 09:50:35,781 [5] INFO  BaseLog [(null)] - 调用XYAuto.ITSC.Chitunion2017.Common.UserInfo.Instance.Passport方法，参数UserID=1612,结果=fq0esYvUWd972wEauXMdHKw0OtpNIywRF3NC0ph/wlOEwwEEdAoDNNgLvyMBWVpNF5xEYe8ioPNpQiH3YHWNntS9/PPqz1Ov3nAuXHw1ArNQwQoP9Zd81phSiIXDYMwxuognGUlk0prn8gkxDr8aQ9wlc9AlnXQj4Wq8S2OZ7XOgcqOzcmbO11YSWOvbWiAQ,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:35,786 [5] INFO  BaseLog [(null)] - WeiXinVisvitBll AddWeiXinVisvitInfo 开始 UserID: 1612,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:35,792 [5] INFO  BaseLog [(null)] - WeiXinVisvitBll AddWeiXinVisvitInfo UserID: 1612,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan OK
2018-03-21 09:50:35,975 [6] INFO  BaseLog [(null)] - OAuth2Controller>Index :https://open.weixin.qq.com/connect/oauth2/authorize?appid=wxf0eea6fec2756b45&redirect_uri=http%3A%2F%2Fwxtest-ct.qichedaquan.com%2Fapi%2FOAuth2%2FUserInfoCallback%3FreturnUrl%3Dhttp%3A%2F%2Fwxtest-ct.qichedaquan.com%2FmoneyManager%2Fmake_money.html%3Fchannel%3Dctlmcaidan&response_type=code&scope=snsapi_userinfo&state=ChiTu975&connect_redirect=1#wechat_redirect
2018-03-21 09:50:38,381 [5] INFO  BaseLog [(null)] - UserInfoCallback :http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:38,388 [5] INFO  BaseLog [(null)] - UserInfoCallback :GetAccessToken开始，Code：011hUxH81QmNCQ1VBXH81B7fH81hUxHB
2018-03-21 09:50:38,536 [5] INFO  BaseLog [(null)] - UserInfoCallback :GetAccessToken结束，Code：011hUxH81QmNCQ1VBXH81B7fH81hUxHB
2018-03-21 09:50:38,630 [5] INFO  BaseLog [(null)] - 调用OAuthApi.Auth方法，参数access_token=7_tq049RCALTx5bpiDfuc9gS_BiVpXMqce3fiVzLt8422GEa_w9IFta9xW6mIpncagk-K74_R9kU5ubRZxB0PoGA,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果=ok
2018-03-21 09:50:38,743 [5] INFO  BaseLog [(null)] - 调用OAuthApi.GetUserInfo方法，参数access_token=7_tq049RCALTx5bpiDfuc9gS_BiVpXMqce3fiVzLt8422GEa_w9IFta9xW6mIpncagk-K74_R9kU5ubRZxB0PoGA,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"openid":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","nickname":"seay","sex":1,"province":"奥克兰","city":"","country":"新西兰","headimgurl":"http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTJ4TM16lK1RM4GbPuOD8jRyic0YE8kdWAAZI9feWTDfjtOBhfG6CNvNuLmwS5g2yjwIwm5DEVxafmg/132","privilege":["chinaunicom"],"unionid":"o_J_G0_aJx27xTqZeOGzunN1JB5A"}
2018-03-21 09:50:38,841 [5] INFO  BaseLog [(null)] - 调用Senparc.Weixin.MP.AdvancedAPIs.UserApi.Info方法，参数appId=wxf0eea6fec2756b45,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"subscribe":1,"openid":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","nickname":"seay","sex":1,"language":"zh_CN","city":"","province":"奥克兰","country":"新西兰","headimgurl":"http://thirdwx.qlogo.cn/mmopen/5pxmIbNO8heardmiaZ0saeaueGEyKnpWWIFkvqOS0nwxdHSq6qASxIcIn3jT5y13hP3Wy0UQDJib1FrELiapV456Y4M4vmBk3Js/132","subscribe_time":1521020314,"unionid":"o_J_G0_aJx27xTqZeOGzunN1JB5A","remark":"","groupid":0,"tagid_list":[],"errcode":0,"ErrorCodeValue":0,"errmsg":null,"P2PData":null}
2018-03-21 09:50:38,849 [5] INFO  BaseLog [(null)] - 调用 XYAuto.ITSC.Chitunion2017.BLL.WeChat.WeiXinUser.Instance.GetUnionAndUserId方法，参数openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"OpenID":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","UnionID":"o_J_G0_aJx27xTqZeOGzunN1JB5A","UserID":1612}
2018-03-21 09:50:38,863 [5] INFO  BaseLog [(null)] - 调用XYAuto.ITSC.Chitunion2017.Common.UserInfo.Instance.Passport方法，参数UserID=1612,结果=fq0esYvUWd972wEauXMdHKw0OtpNIywRF3NC0ph/wlOEwwEEdAoDNNgLvyMBWVpNF5xEYe8ioPNpQiH3YHWNntS9/PPqz1Ov3nAuXHw1ArNQwQoP9Zd81phSiIXDYMwxuognGUlk0prn8gkxDr8aQ9wlc9AlnXQjwQc7g01syPw4tBaRbQATAAfsmjpKBtWC,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:38,868 [5] INFO  BaseLog [(null)] - WeiXinVisvitBll AddWeiXinVisvitInfo 开始 UserID: 1612,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:38,875 [5] INFO  BaseLog [(null)] - WeiXinVisvitBll AddWeiXinVisvitInfo UserID: 1612,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan OK
2018-03-21 09:50:39,051 [7] INFO  BaseLog [(null)] - OAuth2Controller>Index :https://open.weixin.qq.com/connect/oauth2/authorize?appid=wxf0eea6fec2756b45&redirect_uri=http%3A%2F%2Fwxtest-ct.qichedaquan.com%2Fapi%2FOAuth2%2FUserInfoCallback%3FreturnUrl%3Dhttp%3A%2F%2Fwxtest-ct.qichedaquan.com%2FmoneyManager%2Fmake_money.html%3Fchannel%3Dctlmcaidan&response_type=code&scope=snsapi_userinfo&state=ChiTu51&connect_redirect=1#wechat_redirect
2018-03-21 09:50:41,433 [8] INFO  BaseLog [(null)] - UserInfoCallback :http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:41,438 [8] INFO  BaseLog [(null)] - UserInfoCallback :GetAccessToken开始，Code：011ofZv90o3G1w1A5dx90XY0w90ofZvE
2018-03-21 09:50:41,530 [8] INFO  BaseLog [(null)] - UserInfoCallback :GetAccessToken结束，Code：011ofZv90o3G1w1A5dx90XY0w90ofZvE
2018-03-21 09:50:41,628 [8] INFO  BaseLog [(null)] - 调用OAuthApi.Auth方法，参数access_token=7_Fz0GxmtiTvoqJUFvLYFjnSLOMbo8NMaQwm9MkqCdeh1LadFVjBKMn0TlyUK2a7Q30FjNtbF5gb85Hrg0fsGtVA,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果=ok
2018-03-21 09:50:41,705 [8] INFO  BaseLog [(null)] - 调用OAuthApi.GetUserInfo方法，参数access_token=7_Fz0GxmtiTvoqJUFvLYFjnSLOMbo8NMaQwm9MkqCdeh1LadFVjBKMn0TlyUK2a7Q30FjNtbF5gb85Hrg0fsGtVA,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"openid":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","nickname":"seay","sex":1,"province":"奥克兰","city":"","country":"新西兰","headimgurl":"http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTJ4TM16lK1RM4GbPuOD8jRyic0YE8kdWAAZI9feWTDfjtOBhfG6CNvNuLmwS5g2yjwIwm5DEVxafmg/132","privilege":["chinaunicom"],"unionid":"o_J_G0_aJx27xTqZeOGzunN1JB5A"}
2018-03-21 09:50:41,776 [8] INFO  BaseLog [(null)] - 调用Senparc.Weixin.MP.AdvancedAPIs.UserApi.Info方法，参数appId=wxf0eea6fec2756b45,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"subscribe":1,"openid":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","nickname":"seay","sex":1,"language":"zh_CN","city":"","province":"奥克兰","country":"新西兰","headimgurl":"http://thirdwx.qlogo.cn/mmopen/5pxmIbNO8heardmiaZ0saeaueGEyKnpWWIFkvqOS0nwxdHSq6qASxIcIn3jT5y13hP3Wy0UQDJib1FrELiapV456Y4M4vmBk3Js/132","subscribe_time":1521020314,"unionid":"o_J_G0_aJx27xTqZeOGzunN1JB5A","remark":"","groupid":0,"tagid_list":[],"errcode":0,"ErrorCodeValue":0,"errmsg":null,"P2PData":null}
2018-03-21 09:50:41,783 [8] INFO  BaseLog [(null)] - 调用 XYAuto.ITSC.Chitunion2017.BLL.WeChat.WeiXinUser.Instance.GetUnionAndUserId方法，参数openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"OpenID":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","UnionID":"o_J_G0_aJx27xTqZeOGzunN1JB5A","UserID":1612}
2018-03-21 09:50:41,798 [8] INFO  BaseLog [(null)] - 调用XYAuto.ITSC.Chitunion2017.Common.UserInfo.Instance.Passport方法，参数UserID=1612,结果=fq0esYvUWd972wEauXMdHKw0OtpNIywRF3NC0ph/wlOEwwEEdAoDNNgLvyMBWVpNF5xEYe8ioPNpQiH3YHWNntS9/PPqz1Ov3nAuXHw1ArNQwQoP9Zd81phSiIXDYMwxuognGUlk0prn8gkxDr8aQ9wlc9AlnXQj2k6Q6FGsMCDUYwdbbLPS9SCzbFvu/swD,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:41,803 [8] INFO  BaseLog [(null)] - WeiXinVisvitBll AddWeiXinVisvitInfo 开始 UserID: 1612,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
